Monthly & Weekly Sales & Production Planner Tracking Sheet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;01st Dec 25;;;;;08th Dec 25;;;;;15th Dec 25;;;;;22nd Dec 25;;;;;Dec-25;;;;;;;
Dec-25;;;;;Week 1;;;;;Week 2;;;;;Week 3;;;;;Week 4;;;;;Performance Analysis for the Month;;;;Carry over items to Jan-26;;;
;;;;;Target;Target;Actual;Actual;Comment/Action plan (week 1);Target;Target;Actual;Actual;Comment/Action plan (week 2);Target;Target;Actual;Actual;Comment/Action plan (week 3);Target;Target;Actual;Actual;Comment/Action plan (week 4);Target;Target;Actual;Actual;(Exclude from Dec-25 target);;Comment;Action Plan
Sales Order #;Customer ;Product Type;Quantity;Amount;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;;Qty;Amount;Qty;Amount;Qty;Amount;;
SO-19575;ARTFULLY DYED (PTY) LTD t/a COLOURSPUN;TEX 600/2 A COTTON RS; 100 ; 9 315,00 ; 100 ; 9 315,00 ;0; -   ;; -   ; -   ; 86 ; 8 010,90 ;;;;;;;;;;;; 100 ; 9 315,00 ; 86 ; 8 010,90 ; 14 ; 1 304,10 ;;
SO-19576;ARTFULLY DYED (PTY) LTD t/a COLOURSPUN;TEX 200/1 O + 200/1 BAM RING SPUN; 100 ; 9 660,00 ; 100 ; 9 660,00 ;0; -   ;; -   ; -   ; 111 ; 10 722,60 ;;;;;;;;;;;; 100 ; 9 660,00 ; 111 ; 10 722,60 ; -   ; -   ;;
SO-19577;B A PACKAGING CC;TEX 80/3 POLYESTER RS; 500 ; 25 050,00 ; 500 ; 25 050,00 ;666; 33 366,60 ;; -   ; -   ;; -   ;;;;;;;;;;;; 500 ; 25 050,00 ; 666 ; 33 366,60 ; -   ; -   ;;
SO-19579;ARTFULLY DYED (PTY) LTD t/a COLOURSPUN;TEX 100/3 A COTTON RS + 72/1 VISCOSE; 30 ; 4 440,00 ; -   ; -   ;0; -   ;; 30 ; 4 440,00 ; 25 ; 3 700,00 ;;;;;;;;;;;; 30 ; 4 440,00 ; 25 ; 3 700,00 ; 5 ; 740,00 ;;
SO-19580;THE ROPEWORX (PTY) LTD;TEX 100/6 DOE 2Kg; 400 ; 20 460,00 ; 400 ; 20 460,00 ;375; 19 181,25 ;; -   ; -   ;; -   ;;;;;;;;;;;; 400 ; 20 460,00 ; 375 ; 19 181,25 ; 25 ; 1 278,75 ;;
SO-19582;EMPIRE GLOVES PTY LTD;TEX 72/1 A COTTON RS 3.0 WAX; 833 ; 96 255,00 ; 833 ; 96 238,83 ;0; -   ;1031kgs invoiced against other sales orders; 0 ; 16,17 ; 451 ; 52 105,29 ;;;;;;;;;;;; 833 ; 96 255,00 ; 451 ; 52 105,29 ; 382 ; 44 149,71 ;;
SO-19594;TECHNIFLEX;TEX 1440/6 POLYESTER T1837 BEAM  2 CARTONS ; 50 ; 4 675,00 ; 50 ; 4 675,00 ;68; 6 358,00 ;; -   ; -   ;; -   ;;;;;;;;;;;; 50 ; 4 675,00 ; 68 ; 6 358,00 ; -   ; -   ;;
SO-19599;JOHN CRANE PTY LTD;TEX 200/1 D OE - 200MM; 300 ; 15 330,00 ; 300 ; 15 330,00 ;0; -   ;; -   ; -   ;; -   ;;;;;;;;;;;; 300 ; 15 330,00 ; -   ; -   ; 300 ; 15 330,00 ;;
;;; 155 347 ; 11 784 778,28 ; 100 859 ; 9 022 762,69 ; 50 783 ; 6 205 734 ;; 54 489 ; 2 762 138,64 ; 7 173 ; 940 645,01 ;; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ;; 155 348 ; 11 784 901,33 ; 57 956 ; 7 146 378,55 ; 110 535 ; 6 607 302,26 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
